"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"615. Empire";"2015–2020";"TV-14";7,4;"41K";"A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers."
"616. Jupiter's Legacy";"2021";"TV-MA";6,7;"41K";"The first generation of superheroes has kept the world safe for nearly a century. Now their children must live up to their legacy in an epic drama that spans decades and navigates the dynamics of family, power and loyalty."
"617. Ed, Edd n Eddy";"1999–2008";"TV-Y7";7,4;"41K";"The off-the-wall, day-to-day life of three friends who have exactly the same name."
"618. The Goldbergs";"2013–2023";"TV-PG";8;"41K";"This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs."
"619. The Wonder Years";"1988–1993";"TV-PG";8,4;"41K";"Kevin Arnold recalls growing up during the late 60s and early 70s; the turbulent social times make the transition from child to adult unusually interesting."
"620. Raising Hope";"2010–2014";"TV-PG";8,1;"41K";"Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row."
"621. Sneaky Pete";"2015–2019";"TV-MA";8;"41K";"A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate Pete, and reuniting with Pete's estranged family, which threatens to drag him into a world just as dangerous as the one he's escaping."
"622. The Legend of Vox Machina";"2022–";"TV-MA";8,4;"41K";"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave."
"623. Lethal Weapon";"2016–2019";"TV-14";7,8;"41K";"A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life."
"624. Don't Trust the B---- in Apartment 23";"2012–2013";"TV-14";7,3;"40K";"Chloe is a New York party girl with the morals of a pirate. She causes trouble for her best friend James Van Der Beek and her naive small-town roommate June."
"625. Gangs of London";"2020–";"TV-MA";8;"40K";"Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated."
"626. Farscape";"1999–2003";"TV-14";8,3;"40K";"Thrown into a distant part of the universe, an Earth astronaut finds himself part of a fugitive alien starship crew."
"627. Alcatraz";"2012";"TV-14";6,9;"40K";"In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them."
"628. Happy Endings";"2011–2020";"TV-14";7,8;"40K";"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together."
"629. Longmire";"2012–2017";"TV-14";8,3;"40K";"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
"630. Top Boy";"2011–2023";"TV-MA";8,4;"40K";"Two London drug dealers ply their lucrative trade at a public housing estate in East London."
"631. How to Sell Drugs Online (Fast)";"2019–";"TV-MA";7,8;"40K";"To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom."
"632. The Suite Life of Zack & Cody";"2005–2008";"TV-G";6,6;"40K";"Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel."
"633. Dirilis: Ertugrul";"2014–2019";"TV-14";7,9;"40K";"The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire."
"634. Steven Universe";"2013–2019";"TV-PG";8,2;"40K";"A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them."
"635. Superman & Lois";"2021–2024";"TV-PG";7,8;"40K";"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society."
"636. I Am Groot";"2022–";"TV-PG";6,7;"40K";"A series of shorts featuring the seedling Groot along with several new and unusual characters."
"637. Spy x Family";"2022–";"TV-14";8,3;"40K";"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together."
"638. Doctor Who";"1963–1989";"TV-PG";8,4;"40K";"The adventures in time and space of the Doctor, a Time Lord who changes appearance and personality by regenerating when near death, and is joined by companions in battles against aliens and other megalomaniacs."
"639. Midsomer Murders";"1997–";"TV-14";7,9;"40K";"A veteran Detective Chief Inspector and his young Sergeant investigate murders around the regional community of Midsomer County."
"640. Mom";"2013–2021";"TV-14";7,4;"40K";"A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother."
"641. Mr. & Mrs. Smith";"2024–";"TV-MA";7;"40K";"Two strangers land jobs with a spy agency that offers them a life of espionage, wealth, and travel. The catch: new identities in an arranged marriage."
"642. Colony";"2016–2018";"TV-14";7,3;"39K";"In the wake of a mysterious alien invasion, a family fights to stay together in a new world order."
"643. Johnny Bravo";"1997–2004";"TV-Y7";7,2;"39K";"The misadventures of a dumb blond egomaniac who severely overestimates his own manliness and his supposed ""success"" with women."
"644. Hacks";"2021–";"TV-MA";8,2;"39K";"Explores a dark mentorship that forms between Deborah Vance, a legendary Las Vegas comedian, and an entitled, outcast 25-year-old."
"645. ALF";"1986–1990";"TV-G";7,4;"39K";"When an ugly creature, who loves eating cats, crash-lands into the Tanner family's garage, they treat him as a guest and allow him to live with them as he comments on the stupidity of mankind."
"646. Z Nation";"2014–2018";"TV-14";6,7;"39K";"Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood."
"647. The Colbert Report";"2005–2014";"TV-14";8,4;"39K";"Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way."
"648. Skam";"2015–2017";"Not Rated";8,6;"39K";"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view."
"649. Nathan for You";"2013–2017";"TV-14";8,9;"39K";"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for."
"650. Rugrats";"1991–2003";"TV-Y";7,4;"39K";"Tommy, Chuckie, Angelica, Phil and Lil and Susie find themselves in a slew of adventures - both real and imaginary. Baldly go where no baby's every gone before as the Rugrats turn the ordinary into the extraordinary every day."
"651. And Just Like That...";"2021–";"TV-MA";5,7;"39K";"The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
"652. Masters of Sex";"2013–2016";"TV-MA";7,9;"39K";"Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution."
"653. Wizards of Waverly Place";"2007–2012";"TV-G";6,9;"39K";"The Russo family may be an ordinary family with an average restaurant, but behind close doors, all three children must compete to be the next family wizard."
"654. The Gilded Age";"2022–";"TV-MA";8;"38K";"The series follows the conflicts surrounding the new money Russell family and their old money neighbors, the van Rhijn family, in 1880s New York City high society."
"655. Another Life";"2019–2021";"TV-MA";5,3;"38K";"Astronaut Niko Breckenridge and her young crew face unimaginable danger as they go on a high-risk mission to explore the genesis of an alien artifact."
"656. The Seven Deadly Sins";"2014–2021";"TV-14";7,8;"38K";"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves."
"657. According to Jim";"2001–2009";"TV-PG";6,5;"38K";"A television show centered around a macho everyman, his loving wife, and their three precocious children."
"658. Your Lie in April";"2014–2015";"TV-PG";8,5;"38K";"A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own."
"659. Rizzoli & Isles";"2010–2016";"TV-14";7,6;"38K";"Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston."
"660. Teen Titans";"2003–2006";"TV-Y7-FV";7,9;"38K";"A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today."
"661. Beauty and the Beast";"2012–2016";"TV-14";7;"38K";"A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast."
"662. Fauda";"2015–2022";"TV-MA";8,3;"38K";"The human stories on both sides of the Israel-Palestine conflict."
