"Title";"Year";"Parental.Rating";"Rating";"Number.of.Votes";"Description"
"127. Outlander";"2014–";"PG";8,4;"180K";"Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion."
"128. Pretty Little Liars";"2010–2017";"TV-14";7,4;"179K";"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
"129. Entourage";"2004–2011";"TV-MA";8,4;"177K";"Film star, Vince Chase, navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent."
"130. Bones";"2005–2017";"TV-14";7,8;"177K";"F.B.I. Special Agent Seeley Booth teams up with the Jeffersonian's top anthropologist, Dr. Temperance Brennan, to investigate cases where all that's left of the victims are their bones."
"131. Tom Clancy's Jack Ryan";"2018–2023";"TV-MA";8;"176K";"Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments."
"132. Battlestar Galactica";"2004–2009";"TV-14";8,7;"176K";"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth."
"133. Castle";"2009–2016";"TV-14";8,1;"175K";"When a psychopath commits murders based on novelist Castle's books, Detective Beckett seeks his help to solve the case. He decides to work with her and uses his experiences as research for his novels."
"134. Bridgerton";"2020–";"TV-MA";7,4;"174K";"The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society."
"135. The Expanse";"2015–2022";"TV-14";8,5;"173K";"The disappearance of rich-girl-turned-political-activist links the lives of Ceres detective, accidental ship captain and U.N. politician. Amidst political tension between Earth, Mars and the Belt, they unravel the greatest conspiracy."
"136. The Sandman";"2022–";"TV-MA";7,7;"173K";"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
"137. Naruto: Shippuden";"2007–2017";"TV-PG";8,7;"171K";"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
"138. The Heroes";"N/A";"N/A";8,4;"168K";"The moral stories of a group of champions (Pahlevanan) living in Kharazm city in 13th century."
"139. How to Get Away with Murder";"2014–2020";"TV-14";8,1;"167K";"A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives."
"140. Andor";"2022–";"TV-14";8,4;"167K";"Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero."
"141. The Last Kingdom";"2015–2022";"TV-MA";8,5;"167K";"As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright."
"142. Silicon Valley";"2014–2019";"TV-MA";8,5;"166K";"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
